t,v_ref,w_ref,delta_ref,v_cmd,delta_cmd,v_meas,delta_meas,v_err,delta_err,clamped,vel_rate_limited,steer_rate_limited,fl,fr,rl,rr,steer_l,steer_r,heading,curvature,x,y
0.78000000,1.00000000,0.50000000,0.46364761,0.37485000,0.43512804,0.27335000,0.43512804,0.72665000,0.02851957,0,0,0,23.34035078,29.36718807,20.53583579,27.19154854,0.49526533,0.38734295,0.04078541,0.46484234,0.10808218,0.00191767
0.79000000,1.00000000,0.50000000,0.46364761,0.37835000,0.44312804,0.27685000,0.44312804,0.72315000,0.02051957,0,0,1,23.60920846,29.79618462,20.65701778,27.51600040,0.50545146,0.39375756,0.04208274,0.47460749,0.11084823,0.00203414
0.80000000,1.00000000,0.50000000,0.46364761,0.38185000,0.43512804,0.28035000,0.43512804,0.71965000,0.02851957,0,0,1,23.77621167,29.91559495,20.91932479,27.69932723,0.49526533,0.38734295,0.04336966,0.46484234,0.11364909,0.00215569
0.81000000,1.00000000,0.50000000,0.46364761,0.38535000,0.44312804,0.28385000,0.44312804,0.71615000,0.02051957,0,0,1,24.04601157,30.34745539,21.03920127,28.02508458,0.50545146,0.39375756,0.04470022,0.47460749,0.11648476,0.00228253
0.82000000,1.00000000,0.50000000,0.46364761,0.38885000,0.43512804,0.28735000,0.43512804,0.71265000,0.02851957,0,0,1,24.21207257,30.46400182,21.30281378,28.20710591,0.49526533,0.38734295,0.04601968,0.46484234,0.11935521,0.00241472
0.83000000,1.00000000,0.50000000,0.46364761,0.39235000,0.44312804,0.29085000,0.44312804,0.70915000,0.02051957,0,0,1,24.48281469,30.89872615,21.42138476,28.53416877,0.50545146,0.39375756,0.04738346,0.47460749,0.12226045,0.00255248
0.84000000,1.00000000,0.50000000,0.46364761,0.39585000,0.43679413,0.29435000,0.43679413,0.70565000,0.02685348,0,0,0,24.65878657,31.04593183,21.67097319,28.73021418,0.49738403,0.38868041,0.04874135,0.46687002,0.12520045,0.00269589
0.85000000,1.00000000,0.50000000,0.46364761,0.39935000,0.44479413,0.29785000,0.44479413,0.70215000,0.01885348,0,0,1,24.93119007,31.48434194,21.78798621,29.05883501,0.50757692,0.39509115,0.05014437,0.47665050,0.12817521,0.00284519
0.86000000,1.00000000,0.50000000,0.46364761,0.40285000,0.43679413,0.30135000,0.43679413,0.69865000,0.02685348,0,0,1,25.09483938,31.59493151,22.05419111,29.23826395,0.49738403,0.38868041,0.05153495,0.46687002,0.13118471,0.00300042
0.87000000,1.00000000,0.50000000,0.46364761,0.40635000,0.44479413,0.30485000,0.44479413,0.69515000,0.01885348,0,0,1,25.36819603,32.03621472,22.16989657,29.56819233,0.50757692,0.39509115,0.05297133,0.47665050,0.13422893,0.00316183
